,Review URL,Text,Star,Cleaned_Text,Compound Value Vader,Negative,Neutral,Positive
0,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOE1tZtXYjKMBk7IVNMJGnmuQOaaYZ1JxNztiGieGHGJblHpUwgYA6GeSMoeAScQf1Whlp_TY4jaI-tDcAk,It is the best app for browsing,1,it is the best app for browsing,0.6369,0.0,0.588,0.412
1,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGiEhZv3BAYUY5QTibT0uPde3Vtl9lzqZ0cvlZvgCYNcMV-VSp5yh91tc0TEQ55zYCHKBAlsYfEJI4y8tA,IT IS GOOD FOR GAMING,1,it is good for gaming,0.4404,0.0,0.58,0.42
2,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEeyGT3Hilx_YcP8nb3-7vbqX5l-OFZn9tiH3Of7TPBwAXN3t-_kPuNHUpVgVoBOKV6wc5Xomdt2laZLF8,Won't updated,1,won t updated,0.5719,0.0,0.351,0.649
3,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGzVHUhT1Z1KapIK6jq8a0VbLoR8UbTZKKofr-4DTGp2kdNuC53Of0YRAFRPMrvGF8ykDvRs8ze950Q2SI,This file sharing for third person,1,this file sharing for third person,0.4215,0.0,0.641,0.359
4,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGTZ0S9CWF1aTI5EDbGoOBt2iCVnv8vFlJnCEZdtZBWLCs2GrOCEvq8cQNpNcy3KVADPShxem5v0r7QxTA,"The update won't download, and from the other reviews it's probably a good thing!",1,the update won t download  and from the other reviews it s probably a good thing ,0.765,0.0,0.68,0.32
5,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFEjb9NVdkDPBqmA57AV2Jr34MWXf13NOaUfWEEqQUcGNM2QnG_fLleBMDVeFqIrj3lmUc_neJ-Pnta0ic,Good serving,1,good serving,0.4404,0.0,0.256,0.744
6,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGH5XALzknaJovb2Bw5PpQOyhiC9rYN9oXEEFo-eLBCNj2VfmenlumheQXOVxqVKtn3B24Xoj2R0QHOhSU,It won't update properly and that causes issues,1,it won t update properly and that causes issues,0.5719,0.0,0.684,0.316
7,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFV4oyKpyjbGByAauaTSpdEkYVhLDFNh53RHrynM1gJUXKhVKCG_ilb5dJhPtcOTFC-fqmWTdBsou2JqII,My chrome app not update in my phone.why ? Please help,1,my chrome app not update in my phone why   please help,0.6124,0.0,0.643,0.357
8,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHrMWAadUr0sUNC6Nh_SSNBrCTmwGVKVOxFuQz2qfEJPZ26yHqZVHmV69yhkRiv_HD5-DL2eNb9iW09bSg,Won't let me update.,1,won t let me update ,0.5719,0.0,0.519,0.481
9,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEizXICELNeg5-WcmYE_VuEANWCTJSJYHSGznW0DUHq-Jqvsk0Y9pPr-4HQ8ySpO1RVH3g_K2zfUumIP3Y,After new update won't load,1,after new update won t load,0.5719,0.0,0.575,0.425
10,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEOU4yXXJYgAScylB68ooBGjz30wZdCSK7coF5GGydqhTRXPXUIYlBmL6PqFvbPM_xDtTTZLsaQKsr8J7I,Nice n fast,1,nice n fast,0.4215,0.0,0.417,0.583
11,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFWcwbI0j88ZR3p_Gpj_mVWD4TBHbjngYJk2eIKhpB4PHbjgRynSGOkzpmUvhATo-wMm4p5c4FHVDHgsBI,Won't update,1,won t update,0.5719,0.0,0.351,0.649
12,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGup71HqDW28h_zi4ReCu8dZ1wxgwenHftE9ACQVpwSJyd3RnystBRr5oGYx01RCATK8mdxi7txuBtn2Sc,Won't let me update,1,won t let me update,0.5719,0.0,0.519,0.481
13,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOHYQkogFI4dhGgaZYUAgOrBrKDBS7iCSmMub3rBOrmQPw-Aj0Sx21HuPtMSqum_R5Pbrsjm3_eSGiObZ84,All free ads pop up,1,all free ads pop up,0.5106,0.0,0.548,0.452
14,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGN2ulOPdTdQeSkGeQof5dHhqvGXOS31JpAAhFy1STqTAEeouHqZ2RSLK8I1LE1Qs-xf6QTZGxYIqwFZuc,Won't update,1,won t update,0.5719,0.0,0.351,0.649
15,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGZvMoutZVJrdAoCnBIc4qbauAGHHAih0qlwRJEgFn_OoZbG7ZNHHYzEmwj_qr3wSSFSr3udCP-nUquQ-0,Won't update,1,won t update,0.5719,0.0,0.351,0.649
16,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGqn-76UItxcw5p5gPDaSc8M1d5_G-HXLvnFHE_p4t8XKwzbqjsJpESLCNOT1giV4dOAF2GVlKrWaEi7Zs,Best app,1,best app,0.6369,0.0,0.192,0.808
17,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOEhNIrkKQ8gWPp9kIA727WXNDE11DHpnpzEu3UJktcSqISaVt85CYBFYG0B__op3BHZWbe3BKx-GEP2nfs,I wish i didnt update.,1,i wish i didnt update ,0.4019,0.0,0.597,0.403
18,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOG3xlQWtoXZ2oUoFHo-Qc4GcxdGNXVmSh3hgA-VrFgcyU4-gDoOenl5STC_2A7xou97-GeWPpH19J0SLEg,Won't let me update,1,won t let me update,0.5719,0.0,0.519,0.481
19,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOELKTIyR3jp9Oj4l7LKRgFtjyBDGfV2ZhCwXcNf6Pvg0KGXJBgBmBV0FSsTkwoNbtyGtjm6_8M8OO-jLMM,Is fast secure I love it,1,is fast secure i love it,0.765,0.0,0.377,0.623
20,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOGf5Hn7LtQmPoEnTPJZ5fGGBDjJ9xjHlbJyu2gEc_kDX0LRoWBrg4nMbVw0kwWVlcs27UhFyae0TbAp_I4,Won't update. Ever.,1,won t update  ever ,0.5719,0.0,0.448,0.552
21,https://play.google.com/store/apps/details?id=com.android.chrome&reviewId=gp:AOqpTOFAjEF4UNg2I-oal8WCSjEp33BQ1titp54F4PevqGVc-X6mf_KD3rnit3iLaLQaym-c8Knf9-3m0v_oxFE,Won't load any page and won't allow me to update it,1,won t load any page and won t allow me to update it,0.8519,0.0,0.518,0.482
